Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Revenue,Payment_Method,Order_Status,Year,Month,Month_Name,Quarter,Day_Name,Age_Group
ORD008425,04-03-2026,CUST00410,Rohan Patel,Male,25,New Delhi,Delhi,P019,Face Wash,Beauty,1,447.85,0.1,403.07,Debit Card,Delivered,2026,3,March,1,Wednesday,18-25
ORD000683,28-04-2026,CUST01307,Rahul Nair,Female,46,Madurai,Tamil Nadu,P012,Saree,Fashion,1,2819.51,0.1,2537.56,UPI,Returned,2026,4,April,2,Tuesday,46-55
ORD007680,14-03-2026,CUST01490,Kiran Verma,Male,47,Vadodara,Gujarat,P007,Running Shoes,Fashion,1,3399.72,0,3399.72,Cash on Delivery,Returned,2026,3,March,1,Saturday,46-55
ORD005281,12-02-2026,CUST01284,Neha Rao,Male,62,Mysuru,Karnataka,P022,Hair Dryer,Beauty,1,2332.07,0.15,1982.26,Debit Card,Delivered,2026,2,February,1,Thursday,56+
ORD008249,26-03-2026,CUST01586,Kiran Patel,Female,18,Hyderabad,Telangana,P023,Protein Powder,Sports,2,2964.91,0.1,5336.84,Net Banking,Delivered,2026,3,March,1,Thursday,18-25
ORD009557,09-04-2026,CUST01726,Arjun Nair,Female,62,Howrah,West Bengal,P026,Dumbbells,Sports,1,2426.63,0.05,2305.3,Credit Card,Delivered,2026,4,April,2,Thursday,56+
ORD007289,22-06-2026,CUST00362,Meera Rao,Female,49,Bengaluru,Karnataka,P003,Headphones,Electronics,1,2503.69,0.2,2002.95,Debit Card,Delivered,2026,6,June,2,Monday,46-55
ORD005021,08-01-2026,CUST00533,Arjun Reddy,Female,58,Nizamabad,Telangana,P015,Cookware Set,Home & Kitchen,1,3551.98,0,3551.98,Cash on Delivery,Returned,2026,1,January,1,Thursday,56+
ORD002847,01-05-2026,CUST01388,Arjun Sharma,Male,58,Nagpur,Maharashtra,P027,Notebook Set,Books & Stationery,1,608.24,0.15,517,UPI,Cancelled,2026,5,May,2,Friday,56+
ORD007776,17-05-2026,CUST01294,Sanjay Nair,Male,52,Hyderabad,Telangana,P018,Air Fryer,Home & Kitchen,1,6358.84,0.1,5722.96,Debit Card,Delivered,2026,5,May,2,Sunday,46-55
ORD005467,01-05-2026,CUST01178,Rohan Verma,Female,63,New Delhi,Delhi,P026,Dumbbells,Sports,1,2634.09,0.2,2107.27,Net Banking,Delivered,2026,5,May,2,Friday,56+
ORD005371,08-02-2026,CUST00700,Rohan Joshi,Female,30,Kolkata,West Bengal,P015,Cookware Set,Home & Kitchen,1,3701.44,0,3701.44,Cash on Delivery,Cancelled,2026,2,February,1,Sunday,26-35
ORD000739,02-02-2026,CUST00330,Sneha Singh,Female,22,Jodhpur,Rajasthan,P011,Backpack,Fashion,2,1894.87,0,3789.74,Cash on Delivery,Cancelled,2026,2,February,1,Monday,18-25
ORD002721,15-02-2026,CUST01754,Sanjay Patel,Male,62,Hyderabad,Telangana,P022,Hair Dryer,Beauty,4,2369.52,0,9478.08,Credit Card,Delivered,2026,2,February,1,Sunday,56+
ORD006276,10-06-2026,CUST01672,Aarav Rao,Female,53,Lucknow,Uttar Pradesh,P017,Office Chair,Home & Kitchen,1,7894.59,0.1,7105.13,Debit Card,Cancelled,2026,6,June,2,Wednesday,46-55
ORD003952,19-05-2026,CUST01177,Rohan Verma,Female,21,Mumbai,Maharashtra,P027,Notebook Set,Books & Stationery,2,563.52,0.05,1070.69,Debit Card,Cancelled,2026,5,May,2,Tuesday,18-25
ORD000276,03-02-2026,CUST00217,Isha Nair,Female,50,Coimbatore,Tamil Nadu,P030,Desk Organizer,Books & Stationery,3,877.96,0,2633.88,Credit Card,Delivered,2026,2,February,1,Tuesday,46-55
ORD008687,20-02-2026,CUST00908,Diya Sharma,Female,18,Noida,Uttar Pradesh,P006,Keyboard,Electronics,4,1788.63,0.05,6796.79,Cash on Delivery,Delivered,2026,2,February,1,Friday,18-25
ORD003995,17-03-2026,CUST00968,Pooja Rao,Male,38,Howrah,West Bengal,P030,Desk Organizer,Books & Stationery,1,884.41,0,884.41,UPI,Delivered,2026,3,March,1,Tuesday,36-45
ORD002681,10-04-2026,CUST01769,Aditya Rao,Male,41,Coimbatore,Tamil Nadu,P015,Cookware Set,Home & Kitchen,4,3520.91,0,14083.64,Cash on Delivery,Returned,2026,4,April,2,Friday,36-45
ORD000913,16-05-2026,CUST01635,Kavya Sharma,Male,41,Kolkata,West Bengal,P002,Smartphone,Electronics,4,30073.2,0.05,114278.16,UPI,Cancelled,2026,5,May,2,Saturday,36-45
ORD008993,18-02-2026,CUST00974,Priya Gupta,Female,38,Kanpur,Uttar Pradesh,P011,Backpack,Fashion,2,1755.79,0.2,2809.26,Debit Card,Returned,2026,2,February,1,Wednesday,36-45
ORD000374,19-04-2026,CUST00854,Isha Reddy,Female,18,Jodhpur,Rajasthan,P027,Notebook Set,Books & Stationery,1,643.74,0.15,547.18,Credit Card,Delivered,2026,4,April,2,Sunday,18-25
ORD003145,06-04-2026,CUST00426,Rahul Nair,Female,58,Mangaluru,Karnataka,P008,Jeans,Fashion,2,2128.72,0,4257.44,UPI,Returned,2026,4,April,2,Monday,56+
ORD006197,25-02-2026,CUST01758,Arjun Verma,Female,39,Bengaluru,Karnataka,P021,Skin Care Kit,Beauty,2,1701.39,0,3402.78,Cash on Delivery,Cancelled,2026,2,February,1,Wednesday,36-45
ORD007001,15-05-2026,CUST01366,Isha Rao,Female,26,Howrah,West Bengal,P023,Protein Powder,Sports,2,3347.95,0.05,6361.1,Net Banking,Delivered,2026,5,May,2,Friday,26-35
ORD000494,07-04-2026,CUST00705,Priya Verma,Female,43,Jodhpur,Rajasthan,P007,Running Shoes,Fashion,1,3005.55,0.1,2705,Cash on Delivery,Delivered,2026,4,April,2,Tuesday,36-45
ORD008541,04-06-2026,CUST00131,Vihaan Patel,Female,43,Madurai,Tamil Nadu,P021,Skin Care Kit,Beauty,2,1792.73,0.05,3406.19,Debit Card,Delivered,2026,6,June,2,Thursday,36-45
ORD003161,13-04-2026,CUST01476,Ananya Nair,Male,42,Lucknow,Uttar Pradesh,P020,Perfume,Beauty,1,2240.19,0,2240.19,Cash on Delivery,Delivered,2026,4,April,2,Monday,36-45
ORD004739,20-03-2026,CUST01087,Arjun Kumar,Female,52,Chennai,Tamil Nadu,P002,Smartphone,Electronics,1,26120.39,0,26120.39,Cash on Delivery,Delivered,2026,3,March,1,Friday,46-55
ORD008509,26-03-2026,CUST00319,Sanjay Reddy,Female,28,Bengaluru,Karnataka,P024,Yoga Mat,Sports,2,1145.96,0,2291.92,UPI,Delivered,2026,3,March,1,Thursday,26-35
ORD005410,12-04-2026,CUST00915,Diya Nair,Female,24,Hyderabad,Telangana,P018,Air Fryer,Home & Kitchen,3,6520.04,0,19560.12,UPI,Returned,2026,4,April,2,Sunday,18-25
ORD000975,21-06-2026,CUST01456,Isha Verma,Female,29,Thiruvananthapuram,Kerala,P015,Cookware Set,Home & Kitchen,2,3721.53,0,7443.06,Cash on Delivery,Cancelled,2026,6,June,2,Sunday,26-35
ORD007727,07-03-2026,CUST01609,Rohan Reddy,Female,40,Howrah,West Bengal,P026,Dumbbells,Sports,2,2640.58,0.05,5017.1,UPI,Delivered,2026,3,March,1,Saturday,36-45
ORD007708,02-01-2026,CUST00102,Vikram Reddy,Female,42,Howrah,West Bengal,P024,Yoga Mat,Sports,1,1143.28,0,1143.28,Cash on Delivery,Returned,2026,1,January,1,Friday,36-45
ORD003313,09-01-2026,CUST00801,Sanjay Joshi,Female,56,Hyderabad,Telangana,P005,Tablet,Electronics,1,19078.58,0.1,17170.72,Cash on Delivery,Delivered,2026,1,January,1,Friday,56+
ORD009403,13-06-2026,CUST00656,Rohan Singh,Male,64,Mysuru,Karnataka,P030,Desk Organizer,Books & Stationery,1,850.3,0,850.3,Cash on Delivery,Cancelled,2026,6,June,2,Saturday,56+
ORD003129,19-05-2026,CUST00613,Kiran Verma,Female,45,Mysuru,Karnataka,P017,Office Chair,Home & Kitchen,1,7994.98,0.15,6795.73,Credit Card,Returned,2026,5,May,2,Tuesday,36-45
ORD004020,16-05-2026,CUST00185,Ananya Patel,Male,41,Mumbai,Maharashtra,P012,Saree,Fashion,1,2828.87,0,2828.87,Cash on Delivery,Delivered,2026,5,May,2,Saturday,36-45
ORD001572,06-04-2026,CUST00208,Vihaan Verma,Female,36,Nizamabad,Telangana,P010,Jacket,Fashion,2,3399.68,0.05,6459.39,UPI,Delivered,2026,4,April,2,Monday,36-45
ORD003859,31-01-2026,CUST01117,Sneha Singh,Male,60,Coimbatore,Tamil Nadu,P019,Face Wash,Beauty,2,460.6,0,921.2,UPI,Delivered,2026,1,January,1,Saturday,56+
ORD001306,04-05-2026,CUST01690,Neha Gupta,Female,50,New Delhi,Delhi,P020,Perfume,Beauty,1,2145.72,0.1,1931.15,Cash on Delivery,Delivered,2026,5,May,2,Monday,46-55
ORD008491,03-05-2026,CUST00176,Neha Patel,Male,50,Coimbatore,Tamil Nadu,P023,Protein Powder,Sports,1,3383.07,0.05,3213.92,Cash on Delivery,Returned,2026,5,May,2,Sunday,46-55
ORD001598,24-06-2026,CUST00319,Sanjay Reddy,Female,28,Bengaluru,Karnataka,P022,Hair Dryer,Beauty,4,2322.3,0,9289.2,Unknown,Cancelled,2026,6,June,2,Wednesday,26-35
ORD002907,27-01-2026,CUST00310,Pooja Sharma,Female,36,Udaipur,Rajasthan,P012,Saree,Fashion,3,2716.34,0.05,7741.57,Cash on Delivery,Cancelled,2026,1,January,1,Tuesday,36-45
ORD005501,02-03-2026,CUST01493,Ananya Joshi,Female,40,Noida,Uttar Pradesh,P025,Cricket Bat,Sports,1,2850.2,0.1,2565.18,Net Banking,Delivered,2026,3,March,1,Monday,36-45
ORD004544,05-04-2026,CUST00143,Kavya Nair,Female,23,Ahmedabad,Gujarat,P021,Skin Care Kit,Beauty,4,1690.67,0,6762.68,UPI,Delivered,2026,4,April,2,Sunday,18-25
ORD002111,20-03-2026,CUST00320,Meera Sharma,Female,38,Nagpur,Maharashtra,P026,Dumbbells,Sports,1,2615.85,0.1,2354.26,Debit Card,Returned,2026,3,March,1,Friday,36-45
ORD006472,08-01-2026,CUST00024,Arjun Gupta,Male,20,Kochi,Kerala,P004,Smartwatch,Electronics,1,6419.43,0.05,6098.46,UPI,Delivered,2026,1,January,1,Thursday,18-25
ORD002218,28-02-2026,CUST00046,Kiran Joshi,Female,42,Nagpur,Maharashtra,P014,Coffee Maker,Home & Kitchen,2,5216.93,0,10433.86,Credit Card,Delivered,2026,2,February,1,Saturday,36-45
ORD004059,10-06-2026,CUST01561,Isha Verma,Male,32,Kolkata,West Bengal,P023,Protein Powder,Sports,2,2963.45,0.1,5334.21,Net Banking,Delivered,2026,6,June,2,Wednesday,26-35
ORD001345,02-01-2026,CUST00312,Rohan Verma,Male,51,Kolkata,West Bengal,P018,Air Fryer,Home & Kitchen,1,5858.95,0.2,4687.16,Cash on Delivery,Delivered,2026,1,January,1,Friday,46-55
ORD003482,12-02-2026,CUST00219,Arjun Singh,Female,43,Bengaluru,Karnataka,P014,Coffee Maker,Home & Kitchen,4,5690.16,0,22760.64,UPI,Delivered,2026,2,February,1,Thursday,36-45
ORD007346,15-04-2026,CUST00210,Sneha Rao,Female,43,Jaipur,Rajasthan,P015,Cookware Set,Home & Kitchen,2,3594.21,0.05,6829,Debit Card,Returned,2026,4,April,2,Wednesday,36-45
ORD000288,17-03-2026,CUST00866,Anjali Nair,Male,29,Nagpur,Maharashtra,P007,Running Shoes,Fashion,1,3169.67,0.05,3011.19,Credit Card,Delivered,2026,3,March,1,Tuesday,26-35
ORD002578,21-05-2026,CUST00878,Priya Sharma,Male,31,Jaipur,Rajasthan,P030,Desk Organizer,Books & Stationery,1,944.66,0,944.66,UPI,Delivered,2026,5,May,2,Thursday,26-35
ORD000588,11-03-2026,CUST00821,Vihaan Rao,Female,51,Mysuru,Karnataka,P005,Tablet,Electronics,2,17966.13,0,35932.26,UPI,Delivered,2026,3,March,1,Wednesday,46-55
ORD000598,05-01-2026,CUST00501,Nikhil Singh,Male,56,Pune,Maharashtra,P013,Mixer Grinder,Home & Kitchen,2,4321.11,0.05,8210.11,Net Banking,Returned,2026,1,January,1,Monday,56+
ORD007682,24-06-2026,CUST00780,Sneha Joshi,Male,41,Warangal,Telangana,P022,Hair Dryer,Beauty,2,2332.16,0.05,4431.1,UPI,Delivered,2026,6,June,2,Wednesday,36-45
ORD009034,15-01-2026,CUST00524,Ananya Joshi,Female,64,Madurai,Tamil Nadu,P022,Hair Dryer,Beauty,1,2313.59,0,2313.59,Credit Card,Delivered,2026,1,January,1,Thursday,56+
ORD000440,03-05-2026,CUST01242,Pooja Joshi,Male,42,Noida,Uttar Pradesh,P013,Mixer Grinder,Home & Kitchen,2,3904.56,0,7809.12,UPI,Returned,2026,5,May,2,Sunday,36-45
ORD006779,20-06-2026,CUST00411,Pooja Singh,Male,41,Kanpur,Uttar Pradesh,P003,Headphones,Electronics,2,2603.26,0,5206.52,Cash on Delivery,Delivered,2026,6,June,2,Saturday,36-45
ORD008493,15-06-2026,CUST01127,Arjun Gupta,Male,63,Bengaluru,Karnataka,P023,Protein Powder,Sports,1,3103.31,0.15,2637.81,UPI,Delivered,2026,6,June,2,Monday,56+
ORD009807,13-06-2026,CUST00298,Nikhil Gupta,Female,20,Madurai,Tamil Nadu,P022,Hair Dryer,Beauty,1,2461.25,0,2461.25,Cash on Delivery,Returned,2026,6,June,2,Saturday,18-25
ORD007323,03-04-2026,CUST00959,Aditya Nair,Female,61,Kochi,Kerala,P006,Keyboard,Electronics,1,1920.11,0.1,1728.1,Debit Card,Delivered,2026,4,April,2,Friday,56+
ORD000591,31-05-2026,CUST00196,Diya Sharma,Female,61,Jodhpur,Rajasthan,P024,Yoga Mat,Sports,1,1275.28,0.1,1147.75,Net Banking,Delivered,2026,5,May,2,Sunday,56+
ORD004572,30-06-2026,CUST00500,Sanjay Sharma,Female,21,Chennai,Tamil Nadu,P020,Perfume,Beauty,1,2098.46,0,2098.46,UPI,Delivered,2026,6,June,2,Tuesday,18-25
ORD008224,16-04-2026,CUST00589,Sanjay Nair,Female,60,Hyderabad,Telangana,P018,Air Fryer,Home & Kitchen,2,6140.25,0,12280.5,Credit Card,Delivered,2026,4,April,2,Thursday,56+
ORD006748,20-04-2026,CUST00062,Isha Joshi,Male,22,Thiruvananthapuram,Kerala,P027,Notebook Set,Books & Stationery,2,626.8,0.15,1065.56,Debit Card,Delivered,2026,4,April,2,Monday,18-25
ORD002785,20-04-2026,CUST00152,Anjali Reddy,Male,50,Nizamabad,Telangana,P006,Keyboard,Electronics,2,1712.83,0.05,3254.38,Net Banking,Delivered,2026,4,April,2,Monday,46-55
ORD006639,23-01-2026,CUST01142,Vihaan Sharma,Male,32,Jodhpur,Rajasthan,P022,Hair Dryer,Beauty,1,2337.88,0.1,2104.09,Net Banking,Returned,2026,1,January,1,Friday,26-35
ORD006036,18-06-2026,CUST00320,Meera Sharma,Female,38,Nagpur,Maharashtra,P005,Tablet,Electronics,1,17462.38,0,17462.38,Net Banking,Delivered,2026,6,June,2,Thursday,36-45
ORD001048,28-02-2026,CUST01103,Kiran Kumar,Female,52,New Delhi,Delhi,P024,Yoga Mat,Sports,3,1207.36,0.05,3440.98,Debit Card,Delivered,2026,2,February,1,Saturday,46-55
ORD000438,22-03-2026,CUST00579,Diya Nair,Female,62,Coimbatore,Tamil Nadu,P002,Smartphone,Electronics,3,29421.49,0.05,83851.25,Debit Card,Cancelled,2026,3,March,1,Sunday,56+
ORD005992,14-01-2026,CUST00171,Anjali Nair,Female,22,Hyderabad,Telangana,P022,Hair Dryer,Beauty,2,2284.26,0.05,4340.09,Debit Card,Delivered,2026,1,January,1,Wednesday,18-25
ORD001570,22-02-2026,CUST00953,Nikhil Verma,Female,35,Kolkata,West Bengal,P012,Saree,Fashion,1,2866.64,0.1,2579.98,Net Banking,Delivered,2026,2,February,1,Sunday,26-35
ORD000710,11-01-2026,CUST00822,Anjali Patel,Female,30,Jodhpur,Rajasthan,P010,Jacket,Fashion,1,3459.39,0.15,2940.48,Credit Card,Cancelled,2026,1,January,1,Sunday,26-35
ORD004871,13-03-2026,CUST00314,Sanjay Gupta,Female,47,Howrah,West Bengal,P016,Bedsheet,Home & Kitchen,1,1645.36,0.1,1480.82,Credit Card,Cancelled,2026,3,March,1,Friday,46-55
ORD006516,15-04-2026,CUST00519,Arjun Nair,Male,22,Madurai,Tamil Nadu,P009,T-Shirt,Fashion,1,888.5,0.1,799.65,UPI,Cancelled,2026,4,April,2,Wednesday,18-25
ORD006422,04-06-2026,CUST00254,Aditya Kumar,Unknown,40,Bengaluru,Karnataka,P002,Smartphone,Electronics,1,29711.59,0.15,25254.85,UPI,Delivered,2026,6,June,2,Thursday,36-45
ORD004875,11-06-2026,CUST01799,Sanjay Sharma,Male,60,Jodhpur,Rajasthan,P003,Headphones,Electronics,1,2485.75,0.15,2112.89,Debit Card,Delivered,2026,6,June,2,Thursday,56+
ORD005311,18-03-2026,CUST00102,Vikram Reddy,Female,42,Howrah,West Bengal,P022,Hair Dryer,Beauty,1,2549.13,0,2549.13,UPI,Cancelled,2026,3,March,1,Wednesday,36-45
ORD005751,25-06-2026,CUST00529,Vihaan Joshi,Female,24,Ahmedabad,Gujarat,P010,Jacket,Fashion,1,3458.91,0.05,3285.96,Cash on Delivery,Delivered,2026,6,June,2,Thursday,18-25
ORD003674,28-05-2026,CUST01563,Sanjay Gupta,Male,22,Thiruvananthapuram,Kerala,P006,Keyboard,Electronics,4,1668.1,0.1,6005.16,UPI,Delivered,2026,5,May,2,Thursday,18-25
ORD005718,20-06-2026,CUST00015,Rahul Gupta,Female,53,Coimbatore,Tamil Nadu,P002,Smartphone,Electronics,1,28498.21,0.2,22798.57,UPI,Delivered,2026,6,June,2,Saturday,46-55
ORD006543,08-05-2026,CUST00776,Diya Singh,Female,63,Mumbai,Maharashtra,P006,Keyboard,Electronics,1,1853.64,0.1,1668.28,Net Banking,Returned,2026,5,May,2,Friday,56+
ORD007851,01-04-2026,CUST01148,Rohan Nair,Male,64,Thiruvananthapuram,Kerala,P026,Dumbbells,Sports,2,2546.67,0,5093.34,Credit Card,Delivered,2026,4,April,2,Wednesday,56+
ORD009115,31-05-2026,CUST01251,Vihaan Rao,Female,23,Howrah,West Bengal,P003,Headphones,Electronics,1,2546.89,0.15,2164.86,UPI,Cancelled,2026,5,May,2,Sunday,18-25
ORD001468,15-03-2026,CUST01227,Sanjay Kumar,Female,43,Mangaluru,Karnataka,P017,Office Chair,Home & Kitchen,1,7329.77,0,7329.77,Net Banking,Delivered,2026,3,March,1,Sunday,36-45
ORD008538,23-04-2026,CUST00809,Ananya Patel,Female,60,Pune,Maharashtra,P006,Keyboard,Electronics,1,1661.48,0.05,1578.41,Debit Card,Delivered,2026,4,April,2,Thursday,56+
ORD004773,09-05-2026,CUST01218,Neha Gupta,Male,45,Thiruvananthapuram,Kerala,P011,Backpack,Fashion,1,1908.85,0,1908.85,Net Banking,Delivered,2026,5,May,2,Saturday,36-45
ORD001400,06-04-2026,CUST00667,Ananya Verma,Male,49,Coimbatore,Tamil Nadu,P024,Yoga Mat,Sports,1,1222.48,0.05,1161.36,Cash on Delivery,Delivered,2026,4,April,2,Monday,46-55
ORD003466,05-04-2026,CUST00686,Kiran Patel,Female,37,Madurai,Tamil Nadu,P025,Cricket Bat,Sports,2,2866.17,0.05,5445.72,Credit Card,Delivered,2026,4,April,2,Sunday,36-45
ORD000737,28-01-2026,CUST01060,Kavya Sharma,Female,53,Kanpur,Uttar Pradesh,P027,Notebook Set,Books & Stationery,1,624.38,0.15,530.72,Net Banking,Delivered,2026,1,January,1,Wednesday,46-55
ORD006139,10-01-2026,CUST01588,Sanjay Reddy,Female,58,Kolkata,West Bengal,P003,Headphones,Electronics,2,2386.91,0.15,4057.75,Cash on Delivery,Returned,2026,1,January,1,Saturday,56+
ORD000144,02-05-2026,CUST00436,Priya Reddy,Male,43,Unknown,Maharashtra,P023,Protein Powder,Sports,1,3333.89,0,3333.89,UPI,Delivered,2026,5,May,2,Saturday,36-45
ORD009170,03-06-2026,CUST01134,Ananya Singh,Female,63,Nagpur,Maharashtra,P015,Cookware Set,Home & Kitchen,1,3994.23,0.05,3794.52,UPI,Delivered,2026,6,June,2,Wednesday,56+
ORD006228,06-02-2026,CUST01010,Rahul Verma,Female,46,Noida,Uttar Pradesh,P006,Keyboard,Electronics,2,1682.37,0.1,3028.27,Cash on Delivery,Delivered,2026,2,February,1,Friday,46-55
ORD009815,01-05-2026,CUST01609,Rohan Reddy,Female,40,Howrah,West Bengal,P005,Tablet,Electronics,1,18772.9,0.1,16895.61,UPI,Returned,2026,5,May,2,Friday,36-45
ORD009736,08-03-2026,CUST01036,Pooja Rao,Male,25,Madurai,Tamil Nadu,P010,Jacket,Fashion,1,3605.8,0,3605.8,Debit Card,Delivered,2026,3,March,1,Sunday,18-25
ORD002393,17-05-2026,CUST00791,Sneha Nair,Male,41,Bengaluru,Karnataka,P028,Fiction Book,Books & Stationery,4,476.84,0.1,1716.62,UPI,Delivered,2026,5,May,2,Sunday,36-45
ORD000010,21-05-2026,CUST00393,Nikhil Kumar,Female,62,Jaipur,Rajasthan,P014,Coffee Maker,Home & Kitchen,1,5100.88,0.05,4845.84,Debit Card,Cancelled,2026,5,May,2,Thursday,56+
ORD001643,08-05-2026,CUST00798,Aditya Rao,Female,59,Noida,Uttar Pradesh,P006,Keyboard,Electronics,1,1870.24,0,1870.24,Net Banking,Returned,2026,5,May,2,Friday,56+
ORD009041,11-03-2026,CUST00374,Aarav Reddy,Male,63,Kolkata,West Bengal,P027,Notebook Set,Books & Stationery,1,584.06,0,584.06,Net Banking,Returned,2026,3,March,1,Wednesday,56+
ORD003739,01-03-2026,CUST00405,Vihaan Singh,Male,64,Howrah,West Bengal,P005,Tablet,Electronics,2,17804.81,0,35609.62,Net Banking,Delivered,2026,3,March,1,Sunday,56+
ORD000433,19-02-2026,CUST00754,Kavya Reddy,Male,44,Thiruvananthapuram,Kerala,P012,Saree,Fashion,1,2861.12,0,2861.12,Debit Card,Delivered,2026,2,February,1,Thursday,36-45
ORD007705,16-03-2026,CUST00336,Nikhil Joshi,Female,45,Nizamabad,Telangana,P018,Air Fryer,Home & Kitchen,2,6647.95,0.15,11301.52,Net Banking,Delivered,2026,3,March,1,Monday,36-45
ORD005308,12-06-2026,CUST01717,Arjun Kumar,Male,34,Kochi,Kerala,P003,Headphones,Electronics,3,2469.54,0,7408.62,Net Banking,Delivered,2026,6,June,2,Friday,26-35
ORD007379,01-05-2026,CUST01245,Kavya Kumar,Male,59,Thiruvananthapuram,Kerala,P002,Smartphone,Electronics,1,26701.14,0,26701.14,Credit Card,Delivered,2026,5,May,2,Friday,56+
ORD008933,20-05-2026,CUST00025,Aditya Nair,Male,19,Unknown,Kerala,P016,Bedsheet,Home & Kitchen,1,1726.37,0,1726.37,Cash on Delivery,Returned,2026,5,May,2,Wednesday,18-25
ORD007772,16-03-2026,CUST00555,Priya Singh,Female,32,Hyderabad,Telangana,P028,Fiction Book,Books & Stationery,1,534.31,0,534.31,Credit Card,Delivered,2026,3,March,1,Monday,26-35
ORD001615,07-04-2026,CUST00670,Priya Rao,Female,21,Howrah,West Bengal,P019,Face Wash,Beauty,1,426.89,0,426.89,UPI,Delivered,2026,4,April,2,Tuesday,18-25
ORD009694,06-01-2026,CUST00943,Rohan Nair,Male,18,Warangal,Telangana,P012,Saree,Fashion,4,2819.14,0.05,10712.73,UPI,Delivered,2026,1,January,1,Tuesday,18-25
ORD007795,13-01-2026,CUST00632,Neha Singh,Male,65,Kanpur,Uttar Pradesh,P007,Running Shoes,Fashion,3,3415.3,0.15,8709.02,UPI,Delivered,2026,1,January,1,Tuesday,56+
ORD002869,10-02-2026,CUST01540,Sneha Singh,Male,30,Bengaluru,Karnataka,P011,Backpack,Fashion,1,1853.99,0.05,1761.29,Credit Card,Delivered,2026,2,February,1,Tuesday,26-35
ORD002674,24-05-2026,CUST00452,Aditya Kumar,Male,60,Nagpur,Maharashtra,P007,Running Shoes,Fashion,3,3375.01,0.05,9618.78,Debit Card,Delivered,2026,5,May,2,Sunday,56+
ORD010000,20-06-2026,CUST01404,Priya Singh,Male,27,Kochi,Kerala,P030,Desk Organizer,Books & Stationery,1,865.07,0.05,821.82,Net Banking,Returned,2026,6,June,2,Saturday,26-35
ORD007483,18-03-2026,CUST00959,Aditya Nair,Female,61,Kochi,Kerala,P012,Saree,Fashion,1,3013.68,0.1,2712.31,Debit Card,Delivered,2026,3,March,1,Wednesday,56+
ORD005756,04-06-2026,CUST00528,Meera Nair,Female,50,Ahmedabad,Gujarat,P001,Laptop,Electronics,1,55451.77,0,55451.77,Cash on Delivery,Delivered,2026,6,June,2,Thursday,46-55
ORD003758,03-06-2026,CUST01528,Neha Singh,Female,26,Vadodara,Gujarat,P007,Running Shoes,Fashion,1,3002.25,0.05,2852.14,UPI,Delivered,2026,6,June,2,Wednesday,26-35
ORD006693,10-04-2026,CUST00911,Priya Gupta,Male,18,Vadodara,Gujarat,P021,Skin Care Kit,Beauty,1,1882.45,0.05,1788.33,Net Banking,Cancelled,2026,4,April,2,Friday,18-25
